gene_id	tissue	contrast	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
Solyc01g095980.3	Leaf	red_vs_blue	155.297037536603	-2.48468486564986	0.27254752632655	5.60899247621103e-21	9.51083775517527e-19	TRUE
Solyc10g024410.2	Leaf	red_vs_blue	697.888113201955	1.33176887183042	0.144592126386311	6.23612721721391e-21	1.04846210052802e-18	TRUE
Solyc06g050170.4	Leaf	red_vs_blue	380.90965943859	-2.55082587051679	0.281416589243048	7.59450884440267e-21	1.26611311734542e-18	TRUE
Solyc01g100230.3	Leaf	red_vs_blue	549.885823065791	2.38233175883176	0.264894179543548	1.21436564523473e-20	2.00765000298431e-18	TRUE
Solyc06g082070.3	Leaf	red_vs_blue	118.381264934172	3.32040257251798	0.363170126174908	1.41418840626862e-20	2.31868461090604e-18	TRUE
Solyc03g083250.3	Leaf	red_vs_blue	543.853666940675	1.72855552329179	0.192748160977865	1.98752581351164e-20	3.23201021428339e-18	TRUE
Solyc07g053180.3	Leaf	red_vs_blue	1042.52242484389	-1.31495886587724	0.146476093732358	4.26219435618341e-20	6.87460762864412e-18	TRUE
Solyc01g105360.3	Leaf	red_vs_blue	46.0805518183209	-5.111982246897	0.575556675061248	4.44711187792037e-20	7.11502036661793e-18	TRUE
Solyc02g083520.2	Leaf	red_vs_blue	15.3073656721784	-3.13469597160018	0.352973409861696	4.86064793238734e-20	7.71443154645059e-18	TRUE
Solyc06g076850.3	Leaf	red_vs_blue	1023.72762848464	1.48612317306721	0.166087084303033	5.03441258377533e-20	7.92680248012054e-18	TRUE
Solyc09g091660.3	Leaf	red_vs_blue	8918.15022773533	1.83010285437547	0.205160625276697	6.77548773295452e-20	1.05841654436287e-17	TRUE
Solyc04g063210.3	Leaf	red_vs_blue	575.846325180441	2.39094817396096	0.270951439044017	6.89681558887203e-20	1.06895253490338e-17	TRUE
Solyc04g080300.4	Leaf	red_vs_blue	845.782804636295	-1.53065330037516	0.172108678773985	7.35196693369711e-20	1.13066412401254e-17	TRUE
Solyc04g080380.3	Leaf	red_vs_blue	109.496686198315	-3.8613351498911	0.436749729270059	9.14607376730979e-20	1.39576121130507e-17	TRUE
Solyc06g061280.3	Leaf	red_vs_blue	95.7167316606929	-2.6710607294712	0.310456560298913	1.48529905849778e-19	2.24937771156774e-17	TRUE
Solyc04g015480.3	Leaf	red_vs_blue	316.007061901335	2.13098995209125	0.243113700986192	1.53012213885206e-19	2.28241301599142e-17	TRUE
Solyc07g066320.3	Leaf	red_vs_blue	246.133165605824	1.37077268854172	0.154905641690968	1.52818176817418e-19	2.28241301599142e-17	TRUE
Solyc03g118010.4	Leaf	red_vs_blue	489.490015365483	1.25570169101633	0.142582306015932	2.22170205988085e-19	3.28927963925196e-17	TRUE
Solyc01g006720.4	Leaf	red_vs_blue	356.46240190768	-2.09702732232064	0.240422352708874	2.47289469521375e-19	3.63405613765524e-17	TRUE
Solyc02g072540.3	Leaf	red_vs_blue	99.3808178003428	-3.99189462608562	0.461845164548334	2.59890000438005e-19	3.79114538138939e-17	TRUE
Solyc04g040160.4	Leaf	red_vs_blue	482.980966693721	-2.24114726532735	0.257160546501091	2.67845509180051e-19	3.87867668366645e-17	TRUE
Solyc03g025600.3	Leaf	red_vs_blue	692.460286899668	2.17224924357726	0.248898113574511	2.96827031211033e-19	4.267211211736e-17	TRUE
Solyc03g111310.3	Leaf	red_vs_blue	1505.58279712617	2.03639073855535	0.235011208601096	3.24806577963947e-19	4.63585446059478e-17	TRUE
Solyc07g042630.4	Leaf	red_vs_blue	124.472523798933	-2.41257846689959	0.279059317975951	3.8833931733775e-19	5.50304551190258e-17	TRUE
Solyc03g025710.3	Leaf	red_vs_blue	52.5928076294062	-4.77360204298193	0.572580131842127	4.0736736656211e-19	5.73174552143666e-17	TRUE
Solyc01g100200.3	Leaf	red_vs_blue	1223.37268730489	2.63032197876018	0.304567910785471	4.32594391761189e-19	6.04383108320438e-17	TRUE
