tissue	amplicon	module	asv_id	rho	p_value	n	padj	Genus
Leaf	16S	red	ASV020	0.365919801125638	0.102820732289072	21	0.330412690277242	Methylobacterium-Methylorubrum
Leaf	16S	red	ASV021	0.323238709339797	0.152927244064932	21	0.413635653695968	Rhizobiaceae
Leaf	16S	red	ASV024	0.743559199629062	0.000111967560214499	21	0.00331505924941246	Pantoea
Leaf	16S	red	ASV032	0.322345630557262	0.154130368508957	21	0.413635653695968	Hydrotalea
Leaf	16S	red	ASV034	-0.00651203294055074	0.977650413129788	21	0.988014198427984	Aminobacter
Leaf	16S	red	ASV037	0.468036954928141	0.0323768846156299	21	0.162452438597722	Leifsonia
Leaf	16S	red	ASV038	0.0407002058784421	0.8609515416395	21	0.930512146659216	Phenylobacterium
Leaf	16S	red	ASV054	-0.481818181818182	0.0284150447467677	21	0.155690672507443	Pseudomonas
Leaf	16S	red	ASV060	0.474999488141948	0.0295572128847775	21	0.156543757130488	Paenibacillus
Leaf	16S	red	ASV080	-0.0851562424234339	0.713613516300369	21	0.833034553722063	Sphingomonas
Leaf	16S	red	ASV091	0.295520854186033	0.193395076772084	21	0.444556663997814	Curtobacterium
Leaf	16S	red	ASV221	-0.138873014965883	0.548274081023013	21	0.734655126722245	Staphylococcus
Leaf	16S	red	ASV262	-0.273086024941543	0.231017992012689	21	0.478776418229195	Corynebacterium
Leaf	16S	red	ASV317	0.125996481136713	0.586297083464383	21	0.761219870608477	Acinetobacter
Leaf	16S	turquoise	ASV003	0.742499519574723	0.000115911162566869	21	0.00331505924941246	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	turquoise	ASV004	0.689189495491948	0.000548971132836882	21	0.0104670495994232	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	turquoise	ASV005	-0.0602363047000943	0.795349806679982	21	0.901281664920457	Vibrionimonas
Leaf	16S	turquoise	ASV006	-0.109486597401558	0.636617984003895	21	0.797307804023349	Ralstonia
Leaf	16S	turquoise	ASV008	0.761436792294165	6.0844291427933e-05	21	0.00331505924941246	Methylobacterium-Methylorubrum
Leaf	16S	turquoise	ASV012	0.115569186146089	0.617883488189376	21	0.788904810813221	Paenarthrobacter
Leaf	16S	turquoise	ASV013	0.682899954467474	0.000645859363285021	21	0.0115447361187198	Azospirillum
