ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	tissue	module	n_genes_in_module
GO:0006470	protein dephosphorylation	6/272	18/3282	0.333333333333333	4.02205882352941	3.86427842696917	0.00242173316302982	0.0312403578030847	0.0275312822744443	Solyc07g049560/Solyc04g079120/Solyc07g066260/Solyc01g100040/Solyc01g068000/Solyc06g007190	6	Adv-Root	brown	439
GO:0006355	regulation of DNA-templated transcription	34/272	259/3282	0.131274131274131	1.58397683397683	2.94327435976925	0.0037596321009138	0.0440902310016254	0.038855527932889	Solyc06g035700/Solyc04g051360/Solyc08g007830/Solyc02g090770/Solyc01g108240/Solyc07g042230/Solyc08g080290/Solyc08g007820/Solyc05g056120/Solyc11g068620/Solyc02g090400/Solyc03g116890/Solyc10g050970/Solyc03g118480/Solyc01g095100/Solyc05g050560/Solyc08g066660/Solyc01g096120/Solyc02g084680/Solyc06g066540/Solyc10g011910/Solyc03g115850/Solyc06g150130/Solyc06g054630/Solyc09g097870/Solyc01g096050/Solyc09g065850/Solyc05g052410/Solyc11g042560/Solyc03g082840/Solyc06g009640/Solyc02g084630/Solyc05g050830/Solyc08g083170	34	Adv-Root	brown	439
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	5/34	8/3282	0.625	60.3308823529412	17.1878290871923	4.81726383298085e-09	1.03571172409088e-07	8.87390706075419e-08	Solyc10g078330/Solyc01g009040/Solyc04g082430/Solyc10g080950/Solyc02g082820	5	Adv-Root	salmon	54
GO:0044772	mitotic cell cycle phase transition	5/34	8/3282	0.625	60.3308823529412	17.1878290871923	4.81726383298085e-09	1.03571172409088e-07	8.87390706075419e-08	Solyc10g078330/Solyc01g009040/Solyc04g082430/Solyc10g080950/Solyc02g082820	5	Adv-Root	salmon	54
GO:0005874	microtubule	4/34	7/3282	0.571428571428571	55.1596638655462	14.6741816742073	3.29032517548948e-07	4.71613275153492e-06	4.04075021551339e-06	Solyc03g113680/Solyc12g005480/Solyc02g067100/Solyc10g008210	4	Adv-Root	salmon	54
GO:0005504	fatty acid binding	3/34	5/3282	0.6	57.9176470588235	13.0295159908555	1.00217639890825e-05	8.61871703061097e-05	7.38445767616607e-05	Solyc01g109390/Solyc07g065110/Solyc01g066910	3	Adv-Root	salmon	54
GO:0009627	systemic acquired resistance	3/34	5/3282	0.6	57.9176470588235	13.0295159908555	1.00217639890825e-05	8.61871703061097e-05	7.38445767616607e-05	Solyc01g109390/Solyc07g065110/Solyc01g066910	3	Adv-Root	salmon	54
GO:0008017	microtubule binding	4/34	26/3282	0.153846153846154	14.8506787330317	7.25354141780789	0.000122241364335919	0.000876063111074083	0.000750604868729325	Solyc07g065210/Solyc03g113680/Solyc03g007130/Solyc09g090320	4	Adv-Root	salmon	54
GO:0005634	nucleus	8/111	54/3282	0.148148148148148	4.38038038038038	4.68556722152352	0.000377752074289399	0.0313534221660201	0.0278343633686926	Solyc02g092070/Solyc11g067140/Solyc01g104490/Solyc03g082430/Solyc09g090910/Solyc10g083510/Solyc01g090460/Solyc10g079730	8	Adv-Root	black	169
GO:0016760	cellulose synthase (UDP-forming) activity	4/72	12/3282	0.333333333333333	15.1944444444444	7.37652796618657	9.23282039345002e-05	0.00364696405541276	0.00320719024193527	Solyc09g072820/Solyc07g005840/Solyc02g072240/Solyc04g072790	4	Adv-Root	purple	109
GO:0030244	cellulose biosynthetic process	4/72	12/3282	0.333333333333333	15.1944444444444	7.37652796618657	9.23282039345002e-05	0.00364696405541276	0.00320719024193527	Solyc09g072820/Solyc07g005840/Solyc02g072240/Solyc04g072790	4	Adv-Root	purple	109
GO:0016413	O-acetyltransferase activity	4/72	19/3282	0.210526315789474	9.59649122807017	5.62738119732595	0.000643431124626372	0.0169436862818278	0.0149005102545055	Solyc06g050920/Solyc03g096030/Solyc09g005630/Solyc12g014200	4	Adv-Root	purple	109
